公路編號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,工程處,工務段
台74,太原交流道,太原路,太原路,臺中市,北屯區,,第二區養護工程處,員林工務段
台74,太平交流道,太平區中山路,樂業路;東平路,臺中市,太平區,,第二區養護工程處,員林工務段
台74,大里一交流道,德芳南路,振興路;太平路,臺中市,大里區,,第二區養護工程處,員林工務段
台74,大里二交流道,中投公路,,臺中市,大里區,,第二區養護工程處,員林工務段
台74,霧峰交流道,"台3線,霧峰;國道3號,烏日",,臺中市,大里區,,第二區養護工程處,員林工務段
台74甲,牛埔交流道,"台14線,芬園;台14,彰化",,彰化縣,彰化市,,第二區養護工程處,員林工務段
台76,埔鹽交流道,,"台19線,埔鹽,溪湖;台19線,福興,秀水",彰化縣,埔鹽鄉,,第二區養護工程處,員林工務段
台76,埔鹽系統交流道,"國道1號,彰化;國道1號,北斗","國道1號,北斗;國道1號,彰化",彰化縣,埔鹽鄉,,第二區養護工程處,員林工務段
台76,埔心交流道, 大村;埔心,埔心;大村,彰化縣,埔心鄉,,第二區養護工程處,員林工務段
台76,員林交流道,"台1線,員林,大村;台1線,永靖,田尾","台1線,永靖,田尾;台1線,員林,大村",彰化縣,埔心鄉,,第二區養護工程處,員林工務段
台76,林厝交流道,"林厝;社頭,田中",,彰化縣,員林市,,第二區養護工程處,員林工務段
台76,中興系統交流道,"台14乙線,草屯市區;南投",,南投縣,南投市,,第二區養護工程處,員林工務段
台78,台西交流道,"台17線,台西;台17線,四湖","台17線,四湖;台17線,台西",雲林縣,臺西鄉,(現地牌面為1台西),第五區養護工程處,斗南工務段
台78,東勢交流道,麥寮;東勢,東勢;麥寮,雲林縣,東勢鄉,,第五區養護工程處,斗南工務段
台78,元長交流道,"台19線,褒忠;台19線,元長","台19線,元長;台19線,褒忠",雲林縣,東勢鄉,,第五區養護工程處,斗南工務段
台78,土庫交流道,土庫,土庫,雲林縣,土庫鎮,,第五區養護工程處,斗南工務段
台78,虎尾交流道,虎尾;土庫,土庫;虎尾,雲林縣,虎尾鎮,,第五區養護工程處,斗南工務段
台78,雲林系統交流道,"國道1號,斗南;國道1號,大林","國道1號,大林;國道1號,斗南",雲林縣,斗南鎮,,第五區養護工程處,斗南工務段
台78,斗南交流道,"台1線,斗南;台1線,大林","台1線,斗南;台1線,大林",雲林縣,大埤鄉,,第五區養護工程處,斗南工務段
台78,古坑交流道,"台3線,斗六;台3線,古坑","台3線,古坑;台3線,斗六",雲林縣,斗六市,,第五區養護工程處,斗南工務段
台78,古坑系統交流道,"國道3號,林內;國道3號,梅山",,雲林縣,古坑鄉,,第五區養護工程處,斗南工務段
台82,東石端,,,嘉義縣,東石鄉,"(虛擬牌面,現地無牌面)",第五區養護工程處,水上工務段
台82,朴子交流道,"台19線,朴子;台19線,義竹","台19線,義竹;台19線,朴子",嘉義縣,朴子市,,第五區養護工程處,水上工務段
台82,祥和交流道,"太保,故宮南院;鹿草","鹿草;太保,故宮南院",嘉義縣,鹿草鄉,,第五區養護工程處,水上工務段
台82,鹿草交流道,"太保,高鐵站;鹿草","鹿草;太保,高鐵站",嘉義縣,鹿草鄉,,第五區養護工程處,水上工務段
台82,嘉義系統交流道,"國道1號,嘉義;國道1號,新營","國道1號,新營;國道1號,嘉義",嘉義縣,鹿草鄉,,第五區養護工程處,水上工務段
台82,水上交流道,"台1線,水上;台1線,後壁","台1線,後壁;台1線,水上",嘉義縣,水上鄉,,第五區養護工程處,水上工務段
台82,中和交流道,嘉義;白河,白河;嘉義,嘉義縣,水上鄉,,第五區養護工程處,水上工務段
台82,嘉義交流道,"中埔,嘉義;白河","白河;中埔,嘉義",嘉義縣,水上鄉,,第五區養護工程處,水上工務段
台82,水上系統交流道,,,嘉義縣,水上鄉,"(虛擬牌面,現地無牌面)",第五區養護工程處,水上工務段
台84,北門交流道,"台17線,北門","台61線,將軍;台61線,布袋",臺南市,北門區,(現地牌面數字宜更正為10),第五區養護工程處,新營工務段
台84,學甲交流道,"台19線,鹽水;台19線,學甲","台19線,學甲;台19線,鹽水",臺南市,學甲區,,第五區養護工程處,新營工務段
台84,下營系統交流道,"國道1號,新營;國道1號,麻豆","國道1號,麻豆;國道1號,新營",臺南市,麻豆區,,第五區養護工程處,新營工務段
台84,麻豆交流道,"台19甲線,下營;台19甲線,麻豆","台19甲線,麻豆;台19甲線,下營",臺南市,下營區,,第五區養護工程處,新營工務段
台84,西庄交流道,西庄,西庄,臺南市,麻豆區,,第五區養護工程處,新營工務段
台84,渡頭交流道,"國道3號,嘉義,台南;台1線,官田,善化","台1線,官田,善化",臺南市,官田區,,第五區養護工程處,新營工務段
台84,官田系統交流道,,"台1線,善化,官田;國道3號,台南,嘉義",臺南市,官田區,,第五區養護工程處,新營工務段
台84,頭社交流道,頭社;大內,大內;頭社,臺南市,大內區,,第五區養護工程處,新營工務段
台84,二溪交流道,大匏崙;二溪,二溪;大匏崙,臺南市,大內區,,第五區養護工程處,新營工務段
台84,玉井端,,,臺南市,玉井區,"(虛擬牌面,現地無牌面)",第五區養護工程處,新營工務段
台86,台南端,,,臺南市,南區,"(虛擬牌面,現地無牌面)",第五區養護工程處,新化工務段
台86,灣裡交流道,台南,台南,臺南市,南區,,第五區養護工程處,新化工務段
台86,台南交流道,"台1線,台南;台1線,湖內","台1線,湖內,路竹;台1線,台南",臺南市,仁德區,,第五區養護工程處,新化工務段
台86,仁德系統交流道,"國道1號,台南;國道1號,路竹","國道1號,路竹;國道1號,台南",臺南市,仁德區,,第五區養護工程處,新化工務段
台86,上崙交流道,歸仁;仁德,仁德;歸仁,臺南市,仁德區,,第五區養護工程處,新化工務段
台86,大潭交流道,"歸仁;大潭,高鐵","大潭,高鐵;歸仁",臺南市,歸仁區,,第五區養護工程處,新化工務段
台86,歸仁交流道,歸仁;關廟,歸仁,臺南市,歸仁區,,第五區養護工程處,新化工務段
台86,關廟交流道,,,臺南市,關廟區,"(虛擬牌面,現地無牌面)",第五區養護工程處,新化工務段
台88,五甲系統交流道,,,高雄市,鳳山區,"(虛擬牌面,現地無牌面)",第三區養護工程處,鳳屏工務段
台88,鳳山交流道,"鳳山;小港,機場","小港,機場;鳳山",高雄市,鳳山區,,第三區養護工程處,鳳屏工務段
台88,大寮交流道,"台25線,大寮;台25線,林園","台25線,林園;台25線,大寮",高雄市,大寮區,,第三區養護工程處,鳳屏工務段
台88,大發交流道,"大樹,和發產業園區;大發工業區",大發工業區;大樹,高雄市,大寮區,,第三區養護工程處,鳳屏工務段
台88,萬丹交流道,"台27線,萬丹,屏東;台27線,新園,東港","台27線,新園,東港;台27線,萬丹,屏東",屏東縣,萬丹鄉,,第三區養護工程處,鳳屏工務段
台88,竹田系統交流道,"國道3號,屏東;國道3號,林邊","國道3號,林邊;國道3號,屏東",屏東縣,竹田鄉,,第三區養護工程處,鳳屏工務段
台88,竹田端,,,屏東縣,竹田鄉,"(虛擬牌面,現地無牌面)",第三區養護工程處,鳳屏工務段
